filename,type,size,m,comparisons
./data/exp/dataset2000_4.txt,brute-force,2000,5,5997488
./data/exp/dataset2000_4.txt,efficient,2000,5,398824
./data/exp/dataset2000_4.txt,brute-force,2000,10,5998930
./data/exp/dataset2000_4.txt,efficient,2000,10,444739
./data/exp/dataset2000_4.txt,brute-force,2000,20,6004640
./data/exp/dataset2000_4.txt,efficient,2000,20,576329
./data/exp/dataset2000_5.txt,brute-force,2000,5,5997530
./data/exp/dataset2000_5.txt,efficient,2000,5,393619
./data/exp/dataset2000_5.txt,brute-force,2000,10,5998742
./data/exp/dataset2000_5.txt,efficient,2000,10,442583
./data/exp/dataset2000_5.txt,brute-force,2000,20,6004174
./data/exp/dataset2000_5.txt,efficient,2000,20,575955
./data/exp/dataset250_1.txt,brute-force,250,5,93673
./data/exp/dataset250_1.txt,efficient,250,5,34936
./data/exp/dataset250_1.txt,brute-force,250,10,94638
./data/exp/dataset250_1.txt,efficient,250,10,40645
./data/exp/dataset250_1.txt,brute-force,250,20,97457
./data/exp/dataset250_1.txt,efficient,250,20,54263
./data/exp/dataset250_2.txt,brute-force,250,5,93728
./data/exp/dataset250_2.txt,efficient,250,5,35812
./data/exp/dataset250_2.txt,brute-force,250,10,94736
./data/exp/dataset250_2.txt,efficient,250,10,41004
./data/exp/dataset250_2.txt,brute-force,250,20,98582
./data/exp/dataset250_2.txt,efficient,250,20,54207
./data/exp/dataset250_3.txt,brute-force,250,5,93748
./data/exp/dataset250_3.txt,efficient,250,5,36010
./data/exp/dataset250_3.txt,brute-force,250,10,94658
./data/exp/dataset250_3.txt,efficient,250,10,41633
./data/exp/dataset250_3.txt,brute-force,250,20,97740
./data/exp/dataset250_3.txt,efficient,250,20,56260
./data/exp/dataset250_4.txt,brute-force,250,5,93751
./data/exp/dataset250_4.txt,efficient,250,5,35586
./data/exp/dataset250_4.txt,brute-force,250,10,94691
./data/exp/dataset250_4.txt,efficient,250,10,40732
./data/exp/dataset250_4.txt,brute-force,250,20,98033
./data/exp/dataset250_4.txt,efficient,250,20,56511
./data/exp/dataset250_5.txt,brute-force,250,5,93724
./data/exp/dataset250_5.txt,efficient,250,5,35463
./data/exp/dataset250_5.txt,brute-force,250,10,94627
./data/exp/dataset250_5.txt,efficient,250,10,40655
./data/exp/dataset250_5.txt,brute-force,250,20,98102
./data/exp/dataset250_5.txt,efficient,250,20,54145
./data/exp/dataset500_1.txt,brute-force,500,5,374645
./data/exp/dataset500_1.txt,efficient,500,5,80451
./data/exp/dataset500_1.txt,brute-force,500,10,375581
./data/exp/dataset500_1.txt,efficient,500,10,92724
./data/exp/dataset500_1.txt,brute-force,500,20,379687
./data/exp/dataset500_1.txt,efficient,500,20,120972
./data/exp/dataset500_2.txt,brute-force,500,5,374631
./data/exp/dataset500_2.txt,efficient,500,5,79799
./data/exp/dataset500_2.txt,brute-force,500,10,375529
./data/exp/dataset500_2.txt,efficient,500,10,91519
./data/exp/dataset500_2.txt,brute-force,500,20,379458
./data/exp/dataset500_2.txt,efficient,500,20,122004
./data/exp/dataset500_3.txt,brute-force,500,5,374704
./data/exp/dataset500_3.txt,efficient,500,5,80465
./data/exp/dataset500_3.txt,brute-force,500,10,375744
./data/exp/dataset500_3.txt,efficient,500,10,91566
./data/exp/dataset500_3.txt,brute-force,500,20,379649
./data/exp/dataset500_3.txt,efficient,500,20,121976
./data/exp/dataset500_4.txt,brute-force,500,5,374755
./data/exp/dataset500_4.txt,efficient,500,5,78978
./data/exp/dataset500_4.txt,brute-force,500,10,375915
./data/exp/dataset500_4.txt,efficient,500,10,90385
./data/exp/dataset500_4.txt,brute-force,500,20,380604
./data/exp/dataset500_4.txt,efficient,500,20,120049
./data/exp/dataset500_5.txt,brute-force,500,5,374684
./data/exp/dataset500_5.txt,efficient,500,5,78865
./data/exp/dataset500_5.txt,brute-force,500,10,375526
./data/exp/dataset500_5.txt,efficient,500,10,89999
./data/exp/dataset500_5.txt,brute-force,500,20,379794
./data/exp/dataset500_5.txt,efficient,500,20,120426
./data/exp/dataset50_1.txt,brute-force,50,5,3857
./data/exp/dataset50_1.txt,efficient,50,5,5059
./data/exp/dataset50_1.txt,brute-force,50,10,4326
./data/exp/dataset50_1.txt,efficient,50,10,5856
./data/exp/dataset50_1.txt,brute-force,50,20,6044
./data/exp/dataset50_1.txt,efficient,50,20,8221
./data/exp/dataset50_2.txt,brute-force,50,5,3933
./data/exp/dataset50_2.txt,efficient,50,5,5157
./data/exp/dataset50_2.txt,brute-force,50,10,4573
./data/exp/dataset50_2.txt,efficient,50,10,6128
./data/exp/dataset50_2.txt,brute-force,50,20,6109
./data/exp/dataset50_2.txt,efficient,50,20,9096
./data/exp/dataset50_3.txt,brute-force,50,5,3894
./data/exp/dataset50_3.txt,efficient,50,5,5153
./data/exp/dataset50_3.txt,brute-force,50,10,4604
./data/exp/dataset50_3.txt,efficient,50,10,6030
./data/exp/dataset50_3.txt,brute-force,50,20,6550
./data/exp/dataset50_3.txt,efficient,50,20,8808
./data/exp/dataset50_4.txt,brute-force,50,5,3925
./data/exp/dataset50_4.txt,efficient,50,5,5004
./data/exp/dataset50_4.txt,brute-force,50,10,4484
./data/exp/dataset50_4.txt,efficient,50,10,5963
./data/exp/dataset50_4.txt,brute-force,50,20,6746
./data/exp/dataset50_4.txt,efficient,50,20,8657
./data/exp/dataset50_5.txt,brute-force,50,5,3895
./data/exp/dataset50_5.txt,efficient,50,5,4990
./data/exp/dataset50_5.txt,brute-force,50,10,4349
./data/exp/dataset50_5.txt,efficient,50,10,6099
./data/exp/dataset50_5.txt,brute-force,50,20,6798
./data/exp/dataset50_5.txt,efficient,50,20,9227
./data/exp/dataset750_1.txt,brute-force,750,5,843072
./data/exp/dataset750_1.txt,efficient,750,5,134220
./data/exp/dataset750_1.txt,brute-force,750,10,844433
./data/exp/dataset750_1.txt,efficient,750,10,154310
./data/exp/dataset750_1.txt,brute-force,750,20,848342
./data/exp/dataset750_1.txt,efficient,750,20,207918
./data/exp/dataset750_2.txt,brute-force,750,5,843092
./data/exp/dataset750_2.txt,efficient,750,5,133554
./data/exp/dataset750_2.txt,brute-force,750,10,844318
./data/exp/dataset750_2.txt,efficient,750,10,153884
./data/exp/dataset750_2.txt,brute-force,750,20,848793
./data/exp/dataset750_2.txt,efficient,750,20,205684
./data/exp/dataset750_3.txt,brute-force,750,5,843046
./data/exp/dataset750_3.txt,efficient,750,5,134378
./data/exp/dataset750_3.txt,brute-force,750,10,844349
./data/exp/dataset750_3.txt,efficient,750,10,154533
./data/exp/dataset750_3.txt,brute-force,750,20,848832
./data/exp/dataset750_3.txt,efficient,750,20,207580
./data/exp/dataset750_4.txt,brute-force,750,5,842984
./data/exp/dataset750_4.txt,efficient,750,5,132868
./data/exp/dataset750_4.txt,brute-force,750,10,843981
./data/exp/dataset750_4.txt,efficient,750,10,153201
./data/exp/dataset750_4.txt,brute-force,750,20,848014
./data/exp/dataset750_4.txt,efficient,750,20,209530
./data/exp/dataset750_5.txt,brute-force,750,5,843046
./data/exp/dataset750_5.txt,efficient,750,5,133746
./data/exp/dataset750_5.txt,brute-force,750,10,844267
./data/exp/dataset750_5.txt,efficient,750,10,153199
./data/exp/dataset750_5.txt,brute-force,750,20,848529
./data/exp/dataset750_5.txt,efficient,750,20,208351
